InvoiceNo,Date,StoreID,ProductID,Category,Quantity,UnitPrice,Discount,CostPerUnit,CustomerType,PaymentMode
INV1000046,22-06-2025 05:42,STR045,PRD0099,Shoes,6,2971.4,15,2088.41,Returning,Card
INV1000047,25-11-2024 04:37,STR022,PRD0002,Clothing,4,4323.09,0,166.54,New,Card
INV1000048,11-03-2025 00:32,STR042,PRD0035,Clothing,2,3271.61,15,956.72,Returning,Card
INV1000049,06-08-2025 04:04,STR006,PRD0036,Clothing,2,4467.34,5,1031.17,New,Digital
INV1000050,23-07-2025 05:36,STR012,PRD0063,Accessories,2,2357.56,0,1296.18,Returning,Card
INV1000051,22-03-2025 04:25,STR016,PRD0093,Shoes,3,3726.28,0,1640.37,Returning,Cash
INV1000052,19-03-2025 02:13,STR015,PRD0052,Accessories,1,7010.34,5,459.45,Returning,Digital
INV1000053,04-06-2024 22:47,STR045,PRD0059,Accessories,3,2927.89,0,369.65,Returning,Digital
INV1000054,11-05-2025 02:58,STR014,PRD0095,Shoes,3,4286.23,25,240.53,New,Card
INV1000055,15-01-2024 01:58,STR020,PRD0002,Clothing,3,3686.08,0,125.49,Returning,Digital
INV1000056,02-11-2024 19:43,STR007,PRD0112,Shoes,4,888.31,5,548.64,Returning,Cash
INV1000057,26-09-2024 18:55,STR041,PRD0088,Shoes,1,1185.99,5,918.22,Returning,Card
INV1000058,15-02-2025 22:35,STR039,PRD0102,Shoes,5,5252.61,0,1631.41,Returning,Cash
INV1000059,26-09-2025 18:50,STR048,PRD0013,Clothing,1,4764.16,0,132.84,New,Cash
INV1000060,14-07-2024 22:25,STR001,PRD0053,Accessories,4,4669.89,0,630.04,Returning,Cash
INV1000061,09-06-2024 23:47,STR015,PRD0034,Clothing,3,4045.23,10,2046.41,Returning,Digital
INV1000062,25-06-2025 07:58,STR005,PRD0008,Clothing,3,1246.65,10,244.78,New,Card
INV1000063,11-02-2024 02:42,STR045,PRD0052,Accessories,5,9443.96,5,498.16,Returning,Cash
INV1000064,09-10-2025 06:57,STR044,PRD0108,Shoes,4,6995.72,0,958.33,Returning,Cash
INV1000065,09-02-2025 04:32,STR034,PRD0084,Shoes,6,3984.05,30,1645.62,Returning,Card
INV1000066,11-09-2024 04:05,STR043,PRD0014,Clothing,4,4359.8,10,445.26,New,Cash
INV1000067,22-11-2023 04:35,STR017,PRD0042,Accessories,8,1424.44,20,207.46,New,Card
INV1000068,20-08-2024 01:48,STR040,PRD0097,Shoes,2,4389.15,0,1946.43,Returning,Card
INV1000069,30-04-2024 22:15,STR008,PRD0004,Clothing,1,4879.16,0,546.92,Returning,Cash
INV1000070,14-09-2024 02:25,STR008,PRD0060,Accessories,3,9486.49,0,869.47,Returning,Digital
INV1000071,08-04-2024 06:44,STR036,PRD0019,Clothing,2,2226.14,5,1914.31,Returning,Digital
INV1000072,21-09-2024 07:17,STR022,PRD0101,Shoes,5,4455.71,0,137.43,Returning,Cash
INV1000073,01-03-2025 08:00,STR035,PRD0062,Accessories,3,3647.7,5,1343.33,New,Card
INV1000074,15-12-2024 00:22,STR050,PRD0053,Accessories,6,723.38,10,666.7,New,Digital
INV1000075,01-03-2025 18:26,STR022,PRD0112,Shoes,2,1522.63,0,683.31,Returning,Digital
INV1000076,01-01-2025 03:45,STR005,PRD0061,Accessories,7,7880.8,10,1793.98,Returning,Card
INV1000077,28-08-2025 04:38,STR049,PRD0063,Accessories,2,8762.12,0,943.2,Returning,Digital
INV1000078,09-05-2024 04:59,STR028,PRD0013,Clothing,1,3921.66,0,162.69,New,Digital
INV1000079,22-06-2025 04:30,STR019,PRD0046,Accessories,1,3935.96,5,465.42,New,Card
INV1000080,15-07-2024 01:20,STR025,PRD0080,Accessories,2,6926.41,5,568.06,Returning,Card
INV1000081,08-11-2024 02:59,STR030,PRD0037,Clothing,6,3549.25,5,1446.59,Returning,Card
INV1000082,30-06-2025 22:24,STR025,PRD0110,Shoes,2,4279.1,5,1711.24,New,Digital
INV1000083,10-01-2024 08:18,STR026,PRD0036,Clothing,5,536.44,15,1316.64,Returning,Digital
INV1000084,02-06-2024 02:56,STR050,PRD0103,Shoes,5,2456.85,0,1563.76,Returning,Card
INV1000085,13-02-2025 18:17,STR009,PRD0081,Shoes,2,1499.58,0,1226.08,New,Cash
INV1000086,29-11-2024 02:12,STR048,PRD0054,Accessories,4,2003.71,5,1603.08,Returning,Digital
INV1000087,05-02-2024 20:28,STR019,PRD0096,Shoes,2,7066.86,5,925.48,Returning,Digital
INV1000088,27-02-2025 23:23,STR024,PRD0012,Clothing,4,4058.07,5,854.04,Returning,Digital
INV1000089,16-06-2025 23:38,STR024,PRD0014,Clothing,4,3536.76,10,472.34,New,Cash
INV1000090,28-12-2023 22:11,STR030,PRD0090,Shoes,2,2975.77,0,182.57,Returning,Cash
INV1000091,23-01-2025 03:27,STR030,PRD0048,Accessories,5,6803.72,25,689.24,Returning,Card
INV1000092,03-12-2024 21:08,STR032,PRD0079,Accessories,4,4258.72,0,712.23,New,Card
INV1000093,25-03-2024 07:32,STR035,PRD0083,Shoes,4,3382.45,0,1161.38,New,Cash
INV1000094,28-03-2024 06:16,STR041,PRD0077,Accessories,1,9719.61,0,1507.29,New,Digital
INV1000095,20-04-2024 06:37,STR014,PRD0076,Accessories,3,2394.73,0,977.65,New,Digital
INV1000096,16-12-2023 19:40,STR009,PRD0070,Accessories,5,2731.35,10,529.45,New,Cash
INV1000097,25-11-2024 02:17,STR048,PRD0054,Accessories,3,5403.03,5,2064.35,Returning,Cash
INV1000098,25-03-2025 07:05,STR043,PRD0067,Accessories,4,3225.81,0,565.88,Returning,Card
INV1000099,28-03-2024 22:19,STR029,PRD0010,Clothing,3,4546.7,0,145.47,Returning,Digital
INV1000100,07-11-2025 19:34,STR039,PRD0068,Accessories,5,3160.51,5,161.35,Returning,Cash
INV1000101,30-01-2025 23:22,STR022,PRD0106,Shoes,3,4065.19,0,1273.54,Returning,Card
INV1000102,06-12-2024 05:48,STR031,PRD0009,Clothing,5,910.51,5,752.11,Returning,Card
INV1000103,10-09-2024 02:59,STR043,PRD0097,Shoes,2,3845.15,0,2324.08,New,Card
INV1000104,11-06-2025 22:47,STR010,PRD0085,Shoes,2,4271.76,0,978.17,Returning,Digital
INV1000105,17-12-2023 03:39,STR036,PRD0099,Shoes,8,6692.67,10,2033.41,New,Digital
INV1000106,23-09-2025 23:44,STR020,PRD0044,Accessories,1,3704.93,0,567.02,Returning,Digital
INV1000107,29-04-2024 22:59,STR006,PRD0096,Shoes,3,4619.48,5,784.22,Returning,Digital
INV1000108,10-01-2024 03:45,STR039,PRD0011,Clothing,4,4475.04,15,444.4,Returning,Card
INV1000109,02-02-2025 18:58,STR029,PRD0054,Accessories,6,2949.72,0,2071.32,Returning,Card
INV1000110,09-04-2024 05:56,STR039,PRD0008,Clothing,2,534.59,0,244.12,Returning,Cash
INV1000111,16-04-2025 02:33,STR048,PRD0056,Accessories,4,2004.24,10,1197.1,Returning,Cash
INV1000112,06-10-2024 03:07,STR048,PRD0006,Clothing,6,2462.99,0,1363.42,New,Card
INV1000113,24-11-2024 19:07,STR021,PRD0022,Clothing,5,4105.95,15,1493.87,Returning,Card
INV1000114,26-04-2025 03:47,STR020,PRD0096,Shoes,5,3244.5,0,769.98,New,Digital
INV1000115,04-03-2024 19:56,STR023,PRD0094,Shoes,1,7699.21,0,954.59,New,Cash
INV1000116,20-06-2025 06:17,STR005,PRD0023,Clothing,2,4780.81,5,784.68,Returning,Digital
INV1000117,08-10-2024 20:08,STR042,PRD0082,Shoes,3,7903.03,25,556.83,Returning,Card
INV1000118,17-01-2024 23:33,STR004,PRD0046,Accessories,2,5221.17,5,501.18,Returning,Digital
INV1000119,02-01-2024 01:38,STR006,PRD0079,Accessories,3,6062.57,5,575.4,Returning,Card
INV1000120,15-02-2024 02:21,STR010,PRD0008,Clothing,2,2527.35,15,298.17,New,Card
INV1000121,05-09-2024 00:06,STR029,PRD0068,Accessories,2,5370.66,0,139.02,Returning,Cash
INV1000122,05-08-2024 05:34,STR022,PRD0009,Clothing,3,1983.61,0,922.56,Returning,Card
INV1000123,03-10-2024 04:24,STR010,PRD0043,Accessories,7,1090.57,20,567.89,New,Digital
INV1000124,30-03-2024 04:24,STR006,PRD0040,Clothing,5,3015.15,0,1265.67,Returning,Cash
INV1000125,26-06-2024 23:29,STR043,PRD0055,Accessories,2,5232.34,0,1074.72,New,Digital
INV1000126,26-05-2025 07:27,STR010,PRD0010,Clothing,3,1831.06,5,174.66,New,Card
INV1000127,30-10-2025 06:19,STR050,PRD0080,Accessories,3,1571.18,0,540.55,New,Card
INV1000128,21-02-2025 21:14,STR047,PRD0031,Clothing,5,4863.15,15,1705.81,Returning,Digital
INV1000129,04-09-2024 06:04,STR013,PRD0048,Accessories,3,6879.58,5,645.84,Returning,Digital
INV1000130,27-03-2025 07:03,STR013,PRD0103,Shoes,3,5153.58,0,1603.42,Returning,Digital
INV1000131,23-02-2025 08:12,STR034,PRD0109,Shoes,2,1697.68,0,801.94,Returning,Cash
INV1000132,17-04-2025 22:55,STR029,PRD0114,Shoes,2,3317.01,0,356.24,Returning,Card
INV1000133,29-12-2023 22:38,STR007,PRD0108,Shoes,4,5945.87,0,865.04,Returning,Cash
INV1000134,05-08-2025 02:07,STR006,PRD0003,Clothing,1,1651.66,5,705.97,Returning,Cash
INV1000135,23-01-2024 19:33,STR008,PRD0007,Clothing,3,1572.98,10,1894.92,Returning,Card
INV1000136,30-05-2024 04:22,STR019,PRD0055,Accessories,1,315.17,5,1252.89,Returning,Card
INV1000137,24-12-2024 07:10,STR034,PRD0070,Accessories,4,5221.08,5,727.61,New,Cash
INV1000138,08-07-2025 05:28,STR005,PRD0045,Accessories,2,2638.92,0,267.42,New,Card
INV1000139,02-11-2025 01:20,STR022,PRD0105,Shoes,4,5428.13,10,687.18,New,Cash
INV1000140,30-05-2025 00:56,STR013,PRD0114,Shoes,1,1101.72,5,515.61,Returning,Cash
INV1000141,27-03-2024 06:03,STR023,PRD0111,Shoes,1,6422.06,0,2022.25,Returning,Digital
INV1000142,04-05-2025 22:31,STR025,PRD0044,Accessories,3,9745.12,5,648.85,Returning,Card
INV1000143,17-09-2024 22:08,STR012,PRD0070,Accessories,3,3149.53,0,511.95,Returning,Cash
INV1000144,07-02-2025 22:20,STR029,PRD0006,Clothing,2,3770.66,10,1613.88,Returning,Card
INV1000145,15-10-2025 06:08,STR048,PRD0087,Shoes,3,1951.9,15,1621.11,New,Digital
INV1000146,16-10-2025 01:03,STR024,PRD0047,Accessories,5,4013.69,10,299.75,Returning,Card
INV1000147,15-03-2024 18:27,STR034,PRD0047,Accessories,1,4160.93,0,309.37,Returning,Card
INV1000148,07-08-2025 22:24,STR036,PRD0016,Clothing,2,1678,5,1026.52,New,Cash
INV1000149,19-10-2025 07:00,STR005,PRD0058,Accessories,8,1974.77,30,1612.11,Returning,Cash
INV1000150,17-05-2024 06:03,STR020,PRD0109,Shoes,4,1934.04,10,1042.72,New,Digital
INV1000151,02-12-2024 01:31,STR009,PRD0031,Clothing,4,4056.68,5,1324.01,New,Card
INV1000152,30-06-2025 18:48,STR046,PRD0093,Shoes,2,4246.39,5,1547.68,Returning,Card
INV1000153,06-09-2025 02:51,STR044,PRD0067,Accessories,3,3641.79,15,616.1,Returning,Digital
INV1000154,15-11-2025 21:02,STR008,PRD0067,Accessories,9,1784.25,0,463.4,New,Digital
INV1000155,19-07-2025 02:49,STR041,PRD0039,Clothing,4,3264.93,10,1454.72,Returning,Digital
INV1000156,11-02-2024 18:21,STR022,PRD0108,Shoes,6,7452.29,20,756.1,Returning,Card
INV1000157,25-09-2024 00:55,STR041,PRD0004,Clothing,3,2741.17,0,550.76,Returning,Card
INV1000158,03-11-2024 02:49,STR045,PRD0008,Clothing,8,1211.36,5,256.23,Returning,Cash
INV1000159,30-07-2024 19:46,STR036,PRD0014,Clothing,1,1936.02,0,471.38,New,Card
INV1000160,21-10-2024 08:16,STR040,PRD0054,Accessories,5,2708.22,0,2154.3,New,Cash
INV1000161,27-12-2024 02:09,STR033,PRD0060,Accessories,3,5137.97,0,758.09,New,Cash
INV1000162,29-11-2023 06:46,STR039,PRD0113,Shoes,4,6868.52,0,1123.65,Returning,Digital
INV1000163,08-06-2025 21:44,STR024,PRD0006,Clothing,4,2302.62,0,1424.69,Returning,Card
INV1000164,07-12-2024 06:01,STR040,PRD0088,Shoes,5,5199.51,0,909.45,Returning,Card
INV1000165,05-05-2025 00:49,STR003,PRD0006,Clothing,4,675.11,15,1504.12,Returning,Cash
INV1000166,22-09-2024 03:01,STR040,PRD0041,Accessories,6,1876.27,10,1721.02,Returning,Digital
INV1000167,20-01-2025 02:59,STR020,PRD0061,Accessories,4,8212.76,10,1875.83,Returning,Cash
INV1000168,12-01-2024 03:10,STR042,PRD0101,Shoes,1,7798.81,0,125.64,New,Card
INV1000169,16-01-2025 04:53,STR045,PRD0015,Clothing,3,1358.53,5,1303.3,Returning,Digital
INV1000170,12-05-2025 00:00,STR009,PRD0067,Accessories,2,2311.21,10,497.74,Returning,Card
INV1000171,29-10-2025 22:19,STR035,PRD0046,Accessories,4,6855.93,10,622.05,Returning,Cash
INV1000172,10-11-2025 21:24,STR020,PRD0029,Clothing,7,4736.68,15,2040.15,Returning,Card
INV1000173,29-12-2024 07:02,STR047,PRD0036,Clothing,4,1795.05,5,1182.64,Returning,Cash
INV1000174,24-05-2025 22:39,STR029,PRD0084,Shoes,6,2646.4,0,1790.75,New,Cash
INV1000175,15-07-2024 17:46,STR016,PRD0032,Clothing,2,728.44,0,1727.41,Returning,Card
INV1000176,30-04-2024 00:21,STR044,PRD0099,Shoes,4,1789.76,25,2306.45,Returning,Cash
INV1000177,18-09-2025 02:54,STR019,PRD0042,Accessories,4,3068.53,15,154.08,Returning,Digital
INV1000178,28-12-2023 07:05,STR003,PRD0023,Clothing,6,2380.48,25,847.28,Returning,Cash
INV1000179,07-09-2025 02:13,STR037,PRD0078,Accessories,3,1340.82,0,1159.57,Returning,Card
INV1000180,28-05-2024 18:27,STR008,PRD0043,Accessories,2,1876.19,0,524.25,Returning,Card
INV1000181,30-04-2025 22:45,STR012,PRD0079,Accessories,3,8604.62,15,699.08,Returning,Cash
INV1000182,19-08-2024 22:59,STR021,PRD0032,Clothing,5,530.74,5,1417.26,Returning,Cash
INV1000183,29-09-2024 20:05,STR042,PRD0047,Accessories,3,7019.86,0,240.78,Returning,Digital
INV1000184,03-07-2024 20:48,STR045,PRD0016,Clothing,2,3374.2,0,1335.51,New,Digital
INV1000185,01-10-2025 06:53,STR027,PRD0090,Shoes,2,4754.49,5,187.31,Returning,Card
INV1000186,20-04-2025 21:16,STR024,PRD0010,Clothing,4,4627.6,15,132.32,New,Digital
INV1000187,26-04-2025 01:31,STR029,PRD0015,Clothing,2,3561.33,5,1450.6,New,Card
INV1000188,07-08-2024 06:40,STR036,PRD0060,Accessories,3,6825.85,0,757.97,New,Cash
INV1000189,30-01-2024 08:10,STR028,PRD0045,Accessories,2,7093.73,0,255.75,Returning,Digital
INV1000190,16-12-2024 01:35,STR050,PRD0083,Shoes,4,7844,5,1281.36,Returning,Card
INV1000191,24-05-2025 00:13,STR035,PRD0018,Clothing,3,3440.9,0,1145.34,Returning,Digital
INV1000192,28-01-2025 02:04,STR049,PRD0003,Clothing,2,4903.21,10,613.34,Returning,Cash
INV1000193,23-01-2025 03:29,STR013,PRD0113,Shoes,2,6020.17,15,888.34,New,Cash
INV1000194,05-01-2024 00:08,STR003,PRD0058,Accessories,1,6098.51,0,1606.12,Returning,Digital
INV1000195,01-07-2025 23:16,STR009,PRD0065,Accessories,5,9936.79,20,1520.5,Returning,Digital
INV1000196,16-01-2025 21:57,STR016,PRD0039,Clothing,1,4443.16,5,2074.75,Returning,Card
INV1000197,10-05-2025 23:24,STR032,PRD0007,Clothing,4,4875.31,10,2112.23,New,Card
INV1000198,13-11-2025 20:31,STR049,PRD0069,Accessories,4,4893.13,0,797.09,Returning,Card
INV1000199,23-02-2025 07:03,STR009,PRD0050,Accessories,4,2655.73,10,699.06,New,Card
INV1000200,14-07-2025 05:22,STR039,PRD0078,Accessories,4,683.61,15,805.75,New,Cash
INV1000201,20-03-2024 05:28,STR022,PRD0039,Clothing,4,4806.59,25,1400.45,Returning,Card
INV1000202,05-09-2024 00:09,STR046,PRD0027,Clothing,3,2284.84,0,247.42,Returning,Card
INV1000203,15-03-2025 06:33,STR024,PRD0066,Accessories,3,8863.28,15,1552.99,Returning,Card
INV1000204,11-07-2025 03:26,STR037,PRD0111,Shoes,1,2393.17,0,1514.27,New,Cash
INV1000205,30-10-2024 22:28,STR037,PRD0107,Shoes,4,2569.26,25,318.27,Returning,Digital
INV1000206,07-09-2025 18:13,STR009,PRD0093,Shoes,6,4735.13,20,1402.12,Returning,Card
INV1000207,13-11-2025 19:40,STR049,PRD0001,Clothing,4,2355.77,0,1495.08,New,Card
INV1000208,14-01-2025 17:41,STR040,PRD0062,Accessories,6,6695.06,5,1061.08,Returning,Cash
INV1000209,21-05-2024 19:38,STR033,PRD0105,Shoes,3,5824.59,25,590.11,Returning,Cash
INV1000210,08-02-2024 23:05,STR040,PRD0068,Accessories,3,2748.46,15,151.62,Returning,Cash
INV1000211,22-12-2023 19:05,STR044,PRD0106,Shoes,7,6904.64,20,1398.87,New,Cash
INV1000212,22-06-2025 06:46,STR011,PRD0011,Clothing,4,2749.36,15,501.79,New,Digital
INV1000213,21-10-2025 07:57,STR045,PRD0114,Shoes,6,4880.85,20,399.2,New,Digital
INV1000214,06-02-2024 21:50,STR014,PRD0076,Accessories,4,1698.66,15,960.95,Returning,Digital
INV1000215,26-10-2025 04:45,STR044,PRD0115,Shoes,8,4692.05,10,1748.78,New,Card
INV1000216,19-10-2024 18:20,STR005,PRD0044,Accessories,5,6170.14,5,679.43,New,Card
INV1000217,14-08-2025 22:31,STR025,PRD0056,Accessories,1,2101.66,0,1300.54,Returning,Cash
INV1000218,09-10-2024 22:46,STR010,PRD0049,Accessories,3,7203.27,10,1377.85,Returning,Card
INV1000219,13-06-2025 02:12,STR049,PRD0035,Clothing,2,960.04,5,683.98,New,Cash
INV1000220,02-12-2023 22:06,STR036,PRD0012,Clothing,5,3186.16,20,1180.8,Returning,Cash
INV1000221,28-08-2024 23:59,STR018,PRD0039,Clothing,2,1707.83,0,1491.2,Returning,Card
INV1000222,08-03-2024 19:59,STR016,PRD0093,Shoes,5,5300.24,0,1665.17,Returning,Card
INV1000223,17-09-2025 02:48,STR040,PRD0049,Accessories,2,8099.54,0,1218.63,Returning,Digital
INV1000224,14-09-2024 05:24,STR013,PRD0062,Accessories,6,3347.58,25,1560.55,Returning,Digital
INV1000225,19-06-2025 21:17,STR021,PRD0049,Accessories,3,3018.91,0,1457.34,New,Digital
INV1000226,14-09-2024 07:24,STR002,PRD0094,Shoes,2,4123.68,5,977.29,Returning,Cash
INV1000227,10-12-2024 19:08,STR020,PRD0031,Clothing,6,1637.07,5,1407.55,Returning,Digital
INV1000228,23-05-2025 03:20,STR045,PRD0054,Accessories,2,5573.36,0,2098.22,New,Cash
INV1000229,13-09-2025 00:28,STR011,PRD0083,Shoes,4,5211.28,10,1241.33,New,Cash
INV1000230,04-07-2024 01:03,STR015,PRD0066,Accessories,2,7544.47,10,1610.92,Returning,Card
INV1000231,15-02-2024 19:33,STR010,PRD0045,Accessories,3,9977.72,0,249.87,Returning,Card
INV1000232,03-11-2025 01:00,STR014,PRD0067,Accessories,3,4984.38,5,530.09,Returning,Cash
INV1000233,27-07-2024 01:51,STR022,PRD0083,Shoes,5,1587.41,20,1356.02,Returning,Card
INV1000234,24-09-2025 00:05,STR030,PRD0030,Clothing,1,4089.9,0,1311.81,Returning,Digital
INV1000235,01-09-2024 06:25,STR029,PRD0076,Accessories,3,4466.66,0,682.88,New,Digital
INV1000236,14-05-2025 04:00,STR021,PRD0026,Clothing,5,2558.98,20,669.23,Returning,Card
INV1000237,10-10-2025 05:31,STR008,PRD0045,Accessories,3,3714.25,0,247.36,Returning,Card
INV1000238,22-07-2025 20:16,STR008,PRD0024,Clothing,2,2179.88,0,338.69,Returning,Card
INV1000239,08-10-2024 07:08,STR042,PRD0023,Clothing,2,2997.11,0,743.38,Returning,Digital
INV1000240,12-01-2025 04:11,STR013,PRD0105,Shoes,6,3564.4,10,621.92,Returning,Cash
INV1000241,23-05-2025 21:50,STR002,PRD0102,Shoes,3,6279.61,0,1347.17,Returning,Digital
INV1000242,30-05-2025 07:03,STR032,PRD0071,Accessories,3,5254.82,0,515.44,Returning,Cash
INV1000243,20-09-2025 05:55,STR047,PRD0057,Accessories,2,5599.63,0,508.46,Returning,Card
INV1000244,22-06-2024 06:27,STR006,PRD0057,Accessories,6,8693.32,15,360.09,Returning,Digital
INV1000245,19-06-2024 05:43,STR041,PRD0055,Accessories,3,1910.02,0,1139.16,Returning,Cash
INV1000246,20-08-2024 07:12,STR035,PRD0022,Clothing,3,1956.44,0,1542.9,Returning,Cash
INV1000247,21-09-2025 20:24,STR049,PRD0101,Shoes,1,3763.49,0,100.34,New,Card
INV1000248,28-08-2025 22:20,STR016,PRD0098,Shoes,2,6873.6,0,1057.88,Returning,Cash
INV1000249,02-12-2024 01:11,STR050,PRD0012,Clothing,4,2312.83,10,1166.11,Returning,Card
INV1000250,01-07-2024 00:32,STR043,PRD0090,Shoes,1,3379.2,5,156.42,Returning,Card
INV1000251,06-11-2024 08:23,STR019,PRD0044,Accessories,4,5608.91,20,553.82,Returning,Digital
INV1000252,31-01-2025 21:24,STR002,PRD0016,Clothing,2,4682.45,5,980.06,New,Digital
INV1000253,14-09-2025 19:43,STR018,PRD0012,Clothing,4,3445.65,0,954.32,Returning,Card
INV1000254,22-03-2025 18:48,STR015,PRD0055,Accessories,1,6658.21,0,1439.74,Returning,Card
INV1000255,23-03-2025 18:54,STR022,PRD0105,Shoes,3,1668.28,10,694.45,Returning,Cash
INV1000256,05-04-2024 04:23,STR021,PRD0048,Accessories,2,8845.59,15,536.97,New,Card
INV1000257,24-04-2024 08:06,STR040,PRD0084,Shoes,3,1981.64,0,1698.37,Returning,Digital
INV1000258,17-12-2024 23:07,STR006,PRD0115,Shoes,3,1523.35,5,2019.19,New,Cash
INV1000259,27-10-2025 18:34,STR036,PRD0077,Accessories,6,6120.08,15,1916.73,New,Card
INV1000260,23-07-2024 01:04,STR013,PRD0096,Shoes,2,3620.61,15,873.32,New,Card
INV1000261,09-10-2024 20:04,STR005,PRD0068,Accessories,5,8920.63,0,129.57,Returning,Card
INV1000262,28-01-2024 17:56,STR049,PRD0061,Accessories,1,9558.19,0,2194.24,Returning,Card
INV1000263,04-01-2025 19:20,STR019,PRD0081,Shoes,5,5930.93,5,1291.24,New,Card
INV1000264,13-07-2025 04:28,STR033,PRD0027,Clothing,5,4884.41,0,238.14,Returning,Card
